,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Nuuk,64.18,-51.72,17.6,67,5,24.16,GL,1605376742
375,Lake City,30.19,-82.64,80.01,57,1,5.82,US,1605376884
376,Mbandaka,0.05,18.26,73.56,91,97,3.31,CD,1605376884
377,Beyneu,45.32,55.2,33.6,90,97,7.74,KZ,1605376885
378,Banda Aceh,5.56,95.32,79.83,82,89,5.21,ID,1605376885
379,Rabo de Peixe,37.8,-25.58,66.2,93,20,12.75,PT,1605376885
380,Pozo Colorado,-23.49,-58.8,101.23,31,7,10.8,PY,1605376885
381,Luba,3.46,8.55,79.93,81,37,4.76,GQ,1605376885
382,Reconquista,-29.15,-59.65,68.56,94,100,17.38,AR,1605376886
383,Kruisfontein,-34.0,24.73,66.0,69,22,3.0,ZA,1605376886
384,Muros,42.78,-9.06,61.0,86,99,15.01,ES,1605376886
385,Namuac,18.61,121.17,78.17,87,98,15.41,PH,1605376886
386,Jalu,29.03,21.55,67.77,52,4,8.66,LY,1605376886
387,Paramount,33.89,-118.16,64.0,63,1,5.82,US,1605376590
388,Hurghada,27.26,33.81,77.0,50,0,16.11,EG,1605376812
389,Batemans Bay,-35.72,150.18,61.0,97,58,3.89,AU,1605376887
390,Samagaltay,50.6,95.0,22.53,88,87,1.12,RU,1605376887
391,Santa Cruz de la Sierra,-17.8,-63.17,91.4,58,75,28.86,BO,1605376673
392,Uyuni,-20.46,-66.83,64.38,15,0,16.64,BO,1605376888
393,Sidi Ali,36.1,0.42,62.22,91,90,2.62,DZ,1605376888
394,Guerrero Negro,27.98,-114.06,70.45,52,0,16.17,MX,1605376888
395,Egvekinot,66.32,-179.17,6.39,90,98,0.49,RU,1605376888
396,Mangochi,-14.48,35.26,80.89,36,31,8.08,MW,1605376888
397,Praia,14.92,-23.51,87.8,43,0,14.99,CV,1605376803
398,Paraíso,9.84,-83.87,72.0,88,75,38.03,CR,1605376889
399,Nokaneng,-19.67,22.27,73.36,67,100,11.32,BW,1605376889
400,Kamloops,50.67,-120.32,30.0,92,40,2.24,CA,1605376673
401,Shuya,56.85,41.39,32.68,98,100,5.46,RU,1605376889
402,Machado,-21.67,-45.92,77.0,57,20,5.03,BR,1605376872
403,Samarinda,-0.5,117.15,75.18,95,98,1.36,ID,1605376890
404,Naze,28.37,129.48,73.4,73,20,13.87,JP,1605376890
405,Ponta Grossa,-25.09,-50.16,84.63,39,6,4.03,BR,1605376889
406,Atambua,-9.11,124.89,76.01,75,0,1.32,ID,1605376890
407,Puruarán,19.1,-101.53,73.4,60,5,3.8,MX,1605376891
408,Baykit,61.67,96.37,0.34,89,55,0.94,RU,1605376891
409,Benguela,-12.58,13.41,78.33,73,16,5.26,AO,1605376891
410,El Dorado,38.77,-120.52,50.0,66,1,3.36,US,1605376891
411,Cuiluan,47.72,128.65,29.7,88,0,2.75,CN,1605376891
412,Shenjiamen,29.96,122.3,64.31,78,23,9.24,CN,1605376891
413,Abu Kamal,34.45,40.92,64.85,29,4,7.45,SY,1605376892
414,Bull Savanna,17.89,-77.59,83.26,67,64,6.35,JM,1605376892
415,Humaitá,-7.51,-63.02,98.22,37,86,1.59,BR,1605376892
416,Havre-St-Pierre,50.23,-63.6,32.0,96,90,8.05,CA,1605376892
417,Hammerfest,70.66,23.68,37.4,74,19,16.11,NO,1605376892
418,Port-Gentil,-0.72,8.78,82.4,83,40,11.41,GA,1605376893
419,Gouré,13.98,10.27,84.99,22,80,7.0,NE,1605376893
420,Itarema,-2.92,-39.92,87.22,60,99,20.71,BR,1605376893
421,Mehamn,71.04,27.85,39.69,77,5,22.06,NO,1605376893
422,Asarganj,25.15,86.68,71.64,57,0,1.16,IN,1605376748
423,Alofi,-19.06,-169.92,73.4,94,72,9.17,NU,1605376894
424,Nome,64.5,-165.41,19.4,67,1,9.17,US,1605376894
425,Mananara,-16.17,49.77,73.81,88,41,7.16,MG,1605376894
426,Assiut,27.18,31.18,69.8,56,0,10.29,EG,1605376895
427,Ngunguru,-35.62,174.5,51.01,93,0,3.0,NZ,1605376895
428,Okha,53.57,142.95,26.13,96,86,8.46,RU,1605376895
429,Tangjiazhuang,39.73,118.45,45.0,45,40,2.04,CN,1605376895
430,Coquimbo,-29.95,-71.34,62.6,63,20,14.99,CL,1605376895
431,Anadyr,64.75,177.48,8.6,71,75,6.71,RU,1605376896
432,Nha Trang,12.25,109.18,82.4,83,75,5.82,VN,1605376764
433,Ossora,59.24,163.07,33.26,95,100,21.16,RU,1605376896
434,Ust'-Karsk,52.7,118.81,18.97,81,0,2.19,RU,1605376896
435,Terdāl,16.5,75.05,73.81,61,0,7.7,IN,1605376896
436,Havelock,34.88,-76.9,70.0,68,75,5.19,US,1605376897
437,Fort Nelson,58.81,-122.7,12.2,92,90,3.36,CA,1605376897
438,Marivan,35.52,46.18,48.9,46,100,3.78,IR,1605376897
439,Faanui,-16.48,-151.75,79.56,77,80,9.48,PF,1605376897
440,Teya,60.38,92.63,12.04,94,93,2.35,RU,1605376898
441,Wells,51.21,-2.65,55.99,87,20,16.11,GB,1605376898
442,Colac,-38.33,143.58,54.0,98,3,5.23,AU,1605376898
443,Taman',45.21,36.72,39.2,80,73,6.71,RU,1605376898
444,Touros,-5.2,-35.46,86.0,62,40,14.99,BR,1605376898
445,Newport,51.59,-3.0,57.0,92,100,4.0,GB,1605376616
446,Saiki,32.95,131.9,58.62,71,10,4.21,JP,1605376899
447,Rawson,-43.3,-65.1,59.92,36,30,22.79,AR,1605376899
448,Evensk,61.95,159.23,12.43,95,100,19.62,RU,1605376899
449,Alice Springs,-23.7,133.88,86.0,33,63,23.04,AU,1605376672
450,Yining,29.04,114.56,52.18,81,0,0.94,CN,1605376899
451,Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,93,90,22.37,RU,1605376811
452,Narón,43.52,-8.15,62.01,82,99,8.01,ES,1605376900
453,Alugan,12.22,125.48,81.03,87,13,11.9,PH,1605376900
454,Lata,40.16,-8.33,64.0,97,72,5.99,PT,1605376900
455,Santa Cruz Cabrália,-16.28,-39.02,84.2,58,40,20.8,BR,1605376688
456,Bonthe,7.53,-12.51,82.06,73,0,7.81,SL,1605376901
457,Noumea,-22.28,166.46,79.0,94,20,4.12,NC,1605376901
458,Harper,4.38,-7.72,80.13,81,10,5.79,LR,1605376901
459,Ballina,-28.87,153.57,73.4,88,90,10.29,AU,1605376901
460,Cayenne,4.93,-52.33,86.0,70,100,6.93,GF,1605376901
461,Tomigusuku,26.18,127.67,73.4,88,75,12.75,JP,1605376902
462,Yar-Sale,66.83,70.83,0.9,90,100,12.5,RU,1605376902
463,Tessalit,20.2,1.01,75.81,18,0,10.65,ML,1605376902
464,Centralia,46.72,-122.95,43.0,93,1,9.17,US,1605376902
465,Vitim,59.45,112.56,11.3,94,97,7.14,RU,1605376903
466,Domoni,-12.26,44.53,77.58,82,82,6.93,KM,1605376903
467,Aklavik,68.22,-135.01,1.4,77,90,4.7,CA,1605376903
468,Songjianghe,42.19,127.48,33.46,83,98,5.97,CN,1605376903
469,Saline,34.65,-92.68,69.8,56,75,11.41,US,1605376904
470,Vardø,70.37,31.11,41.05,82,58,26.8,NO,1605376904
471,Concarneau,47.88,-3.92,57.2,100,100,18.34,FR,1605376904
472,Kpandae,8.47,-0.01,86.47,33,0,1.92,GH,1605376904
473,Mugur-Aksy,50.35,90.5,19.85,83,86,3.22,RU,1605376905
474,Beeville,28.4,-97.75,84.99,66,40,20.8,US,1605376905
475,Ortaköy,38.74,34.04,48.2,61,40,4.7,TR,1605376652
476,Itabirito,-20.25,-43.8,82.4,58,75,5.82,BR,1605376636
477,Manaure,11.78,-72.44,87.31,62,100,3.0,CO,1605376905
478,At-Bashi,41.17,75.81,28.44,92,100,0.45,KG,1605376906
479,Karratha,-20.74,116.85,75.42,55,0,18.68,AU,1605376672
480,Zyryanka,65.75,150.85,-16.55,87,86,0.96,RU,1605376906
481,Madang,-5.22,145.8,77.65,87,72,1.9,PG,1605376906
482,Zavetnoye,47.12,43.89,34.77,86,37,8.77,RU,1605376906
483,Indiana,40.0,-86.25,46.0,51,90,8.05,US,1605376632
484,Pacific Grove,36.62,-121.92,55.99,87,75,3.36,US,1605376907
485,Puerto Colombia,10.99,-74.95,75.2,100,90,6.93,CO,1605376896
486,Serenje,-13.23,30.24,69.84,53,82,4.09,ZM,1605376907
487,Tipitapa,12.2,-86.1,86.0,66,20,6.93,NI,1605376907
488,Aksu,41.12,80.26,38.37,58,69,0.92,CN,1605376908
489,Mahanoro,-19.9,48.8,71.89,81,89,6.35,MG,1605376908
490,Santander,43.46,-3.8,68.0,52,0,11.41,ES,1605376835
491,Lüderitz,-26.65,15.16,61.57,73,0,19.57,NA,1605376908
492,Bonfim,3.08,-59.95,84.34,67,98,4.61,BR,1605376909
493,Churapcha,62.0,132.43,4.15,95,99,4.43,RU,1605376909
494,Archidona,37.1,-4.39,64.99,96,98,1.21,ES,1605376909
495,Coleraine,55.13,-6.67,53.6,87,75,12.75,GB,1605376910
496,Great Falls,47.5,-111.3,36.0,85,1,23.04,US,1605376807
497,Zhaoqing,23.05,112.46,70.0,99,100,3.2,CN,1605376910
498,Clyde River,70.47,-68.59,21.2,73,90,26.4,CA,1605376910
499,Burnie,-41.07,145.92,50.0,82,90,3.51,AU,1605376911
500,Bay Roberts,47.6,-53.26,33.01,97,100,15.01,CA,1605376911
501,Auchi,7.07,6.27,81.39,60,88,1.7,NG,1605376911
502,Krasnosel'kup,65.7,82.47,-11.88,90,84,6.76,RU,1605376911
503,Namanga,-2.54,36.79,70.3,74,27,10.94,KE,1605376912
504,Fairbanks,64.84,-147.72,15.8,78,90,1.79,US,1605376866
505,Saint-Augustin,51.23,-58.65,34.03,82,100,13.42,CA,1605376912
506,Viytivka,48.43,29.54,39.07,80,62,4.54,UA,1605376912
507,Kuching,1.55,110.33,75.2,100,20,2.08,MY,1605376912
508,Champerico,14.3,-91.92,86.0,70,20,4.7,GT,1605376802
509,Sur,22.57,59.53,76.82,57,8,6.67,OM,1605376913
510,Guntakal,15.17,77.38,72.36,79,17,9.62,IN,1605376913
511,Atagay,55.1,99.39,20.08,95,85,3.2,RU,1605376777
512,Necochea,-38.55,-58.74,68.0,67,100,18.41,AR,1605376914
513,Teknāf,20.86,92.31,74.23,80,0,5.68,BD,1605376647
514,Khudumelapye,-23.88,24.75,79.68,27,66,6.49,BW,1605376914
515,Riyadh,24.69,46.72,69.8,32,0,4.7,SA,1605376882
516,Araouane,18.9,-3.53,82.9,14,0,8.34,ML,1605376914
517,Ryazhsk,53.7,40.11,36.0,75,100,4.88,RU,1605376915
518,Moose Factory,51.26,-80.61,30.2,86,1,10.29,CA,1605376915
519,Athabasca,54.72,-113.29,19.4,92,95,5.82,CA,1605376821
520,Tornio,65.85,24.15,39.2,93,90,10.29,FI,1605376915
521,Kununurra,-15.77,128.73,84.2,89,75,4.7,AU,1605376915
522,Luwingu,-10.26,29.93,67.23,86,96,4.45,ZM,1605376916
523,Chiang Khong,20.26,100.4,60.8,100,0,2.24,TH,1605376916
524,Soyo,-6.13,12.37,78.67,84,100,7.9,AO,1605376916
525,Chaihe,44.77,129.7,30.83,86,97,5.12,CN,1605376916
526,Orlik,52.52,99.83,7.68,85,38,2.24,RU,1605376916
527,Staunton,38.15,-79.07,59.0,33,1,4.92,US,1605376792
528,La Palma,33.85,-118.05,64.99,55,1,3.36,US,1605376917
529,Neuquén,-38.95,-68.06,69.8,28,0,12.75,AR,1605376917
530,Mayo,38.89,-76.51,59.0,43,1,9.17,US,1605376917
531,Tongchuanshi,35.08,109.09,47.91,64,65,4.99,CN,1605376917
532,Mareeba,-17.0,145.43,77.0,78,90,3.36,AU,1605376918
533,Haapiti,-17.57,-149.87,80.6,78,40,6.93,PF,1605376918
534,Kashary,49.04,41.01,32.68,93,13,8.86,RU,1605376918
535,São Sebastião do Paraíso,-20.92,-46.99,79.45,64,98,4.32,BR,1605376870
536,Inhambane,-23.86,35.38,77.0,65,0,8.05,MZ,1605376919
537,Latacunga,-0.93,-78.62,62.6,45,75,2.24,EC,1605376919
538,San Juan,-31.54,-68.54,77.05,34,2,23.13,AR,1605376715
539,Kita,13.03,-9.49,83.5,17,0,5.01,ML,1605376919
540,Szentgotthárd,46.95,16.27,43.0,72,54,5.99,HU,1605376919
541,Morgan City,29.7,-91.21,82.0,74,40,8.05,US,1605376920
542,Agadez,19.75,10.25,72.36,22,0,10.63,NE,1605376920
543,Guatire,10.48,-66.54,82.63,65,99,3.49,VE,1605376920
544,Guilin,25.28,110.29,60.8,72,75,2.24,CN,1605376920
545,Lavrentiya,65.58,-171.0,21.74,91,63,11.45,RU,1605376920
546,Hemsedal,60.86,8.55,32.0,86,96,3.69,NO,1605376921
547,Marblehead,42.5,-70.86,48.99,49,75,14.99,US,1605376921
548,Marrakesh,31.63,-8.01,78.8,39,75,2.24,MA,1605376738
549,Alleroy,43.21,46.28,42.8,87,90,2.24,RU,1605376921
550,Bathsheba,13.22,-59.52,87.8,70,20,11.41,BB,1605376921
551,Tautira,-17.73,-149.15,80.6,78,40,6.93,PF,1605376922
552,Maragogi,-9.01,-35.22,82.09,71,16,10.6,BR,1605376922
553,Bad Freienwalde,52.79,14.03,52.0,83,99,6.76,DE,1605376922
554,Kyshtovka,56.55,76.63,21.4,97,94,5.39,RU,1605376922
